Index  Type         bank_id  bank_offset  packed_size     size
1      Sound              1            0            0        0
2      Sound              1            0         6188     6716
3      Sound              1         6188         9244    11828
4      Sound              1        15432        19620    27128
5      Sound              1        35052        17076    17870
6      Sound              1        52128         3834     3834
7      Sound              1        55962         1680     3366
8      Music              1        57642         1172    15552
10     Sound              1        58814        11190    11190
11     Sound              1        70004        10792    11188
12     Sound              1        80796          748     1062
13     Sound              1        81544         6132     6226
14     Sound              1        87676         1428     1428
15     Sound              1        89104         4496     5104
16     Sound              1        93600         1576     1950
21     Palette            1        95176          836     2048
22     Bytecode           1        96012         3336     4321
23     PolyCinemat        1        99348         3164     5124
24     Palette            1       102512         1336     2048
25     Bytecode           1       103848         7364     9871
26     PolyCinemat        1       111212        55476    65230
45     Sound              1       166688          882      882
47     Sound              1       167570         1992     2282
48     Sound              1       169562         6424     6726
52     Sound              1       175986          560      614
53     Sound              1       176546            0        0
55     Sound              1       176546         5260     8172
64     Sound              1       181806         1256     1274
65     Sound              1       183062         3976     4766
66     Sound              1       187038         1936     2484
72     PolyAnim           1       188974          828    32000
84     PolyAnim           1       189802         6796    32000
129    Sound              1       196598         5700     6298
130    Sound              1       202298         2008     2008
131    Sound              1       204306          936     1122
132    Sound              1       205242         4008     4008
9      Sound              2            0         5168     9844
17     Sound              2         5168        12496    22178
46     Sound              2        17664         7684     7684
50     Sound              2        25348         4400     5278
54     Sound              2        29748          420      424
56     Sound              2        30168         3376     5028
57     Sound              2        33544         4472     5572
59     Sound              2        38016          720      870
60     Sound              2        38736          120      120
61     Sound              2        38856         4060     5010
62     Sound              2        42916         1480     1760
67     Sound              2        44396         1128     1260
75     Sound              2        45524          856      960
76     Sound              2        46380         4612     5094
77     Sound              2        50992          992     1246
78     Sound              2        51984         1372     1530
79     Sound              2        53356          556      606
80     Sound              2        53912         1592     1602
81     Sound              2        55504         4008     6608
82     Sound              2        59512          204      232
85     Sound              2        59716        17768    22698
138    Music              2        77484          124     2240
33     Palette            3            0         1196     2048
34     Bytecode           3         1196        41264    62683
35     PolyCinemat        3        42460        52888    65132
68     PolyAnim           4            0        10492    32000
69     PolyAnim           4        10492         7212    32000
70     PolyAnim           4        17704         7968    32000
71     PolyAnim           4        25672         8872    32000
73     PolyAnim           4        34544        11684    32000
74     PolyAnim           4        46228        12296    32000
19     PolyAnim           5            0         9232    32000
20     PolyAnim           5         9232         5868    32000
83     Sound              6            0         3484     4130
86     Sound              6         3484         1488     2448
87     Sound              6         4972        10028    11330
88     Sound              6        15000         5420     5420
89     Sound              6        20420         1460     1460
90     Sound              6        21880         4772     9140
91     Sound              6        26652         6408     8100
92     Sound              6        33060         2312     3360
93     Sound              6        35372         1320     1320
94     Sound              6        36692         4660     5640
95     Sound              6        41352          452      490
96     Sound              6        41804         2026     2026
97     Sound              6        43830          204      232
98     Sound              7            0        11560    14712
99     Sound              7        11560         3852     4472
100    Sound              7        15412         4068     5296
101    Sound              7        19480         2724     2724
102    Sound              7        22204          556      730
103    Sound              7        22760         5168     9844
104    Sound              7        27928         4848     4848
105    Sound              7        32776        16304    23896
106    Sound              7        49080        31324    41506
113    Sound              7        80404         3220     3472
114    Sound              7        83624         2072     2532
115    Sound              7        85696         5296     6538
116    Sound              7        90992         7536     9682
107    Sound              8            0        11880    11880
108    Sound              8        11880        17780    20934
109    Sound              8        29660         4612     5094
110    Sound              8        34272         4400     5278
111    Sound              8        38672        17768    22698
112    Sound              8        56440        17500    17500
117    Sound              8        73940         9264     9264
118    Sound              8        83204         4886     4886
119    Sound              8        88090          460      544
120    Sound              8        88550         1216     1514
121    Sound              8        89766          940     1084
122    Sound              8        90706         1992     2282
123    Sound              8        92698         4860     5240
124    Sound              8        97558        17198    17198
125    Sound              8       114756         1224     1742
134    Sound              8       115980            0        0
135    Sound              8       115980            0        0
136    Sound              8       115980            0        0
137    Sound              8       115980         7676     9340
144    Sound              8       123656            0        0
126    Palette            9            0         1268     2048
127    Bytecode           9         1268         3108     4257
128    PolyCinemat        9         4376         3020     5048
36     Palette           10            0         1260     2048
37     Bytecode          10         1260         6084     8287
38     PolyCinemat       10         7344        22796    29212
39     Palette           10        30140         1312     2048
40     Bytecode          10        31452        32956    50736
41     PolyCinemat       10        64408        51108    64958
133    Sound             10       115516        26414    26414
140    Sound             10       141930        20314    20314
141    Sound             10       162244        13680    17432
142    Sound             10       175924        10264    10556
143    Sound             10       186188        13932    16328
42     Palette           11            0         1220     2048
43     Bytecode          11         1220         2088     2886
44     PolyCinemat       11         3308        15316    20026
139    Music             11        18624         2244    15552
145    PolyAnim          11        20868        12180    32000
146    PolyAnim          11        33048        13248    32000
18     Unknown(6)        12            0        18864    25108
27     Palette           13            0         1228     2048
28     Bytecode          13         1228        13776    20810
29     PolyCinemat       13        15004        45104    57510
30     Palette           13        60108         1376     2048
31     Bytecode          13        61484        25972    39695
32     PolyCinemat       13        87456        42136    53720
49     Sound             13       129592        12444    13374
51     Sound             13       142036         4104     6246
58     Sound             13       146140         3376     3626
63     Sound             13       149516            7     8622
